Object,DS,IS,MIS,FID,AMS
cow,0.12 ± 0.0,1.59 ± 0.02,7.1 ± 4.83,558.03 ± 3762.25,8.28 ± 0.26
person,0.23 ± 0.0,2.1 ± 0.04,12.34 ± 30.5,544.68 ± 201.17,6.14 ± 0.09
cat,0.24 ± 0.0,2.19 ± 0.04,12.31 ± 4.03,503.67 ± 909.52,7.28 ± 0.06
dog,0.26 ± 0.0,2.14 ± 0.1,15.65 ± 14.45,500.75 ± 896.18,6.05 ± 0.17
horse,0.14 ± 0.01,1.28 ± 0.06,5.19 ± 5.05,497.57 ± 1327.54,7.19 ± 0.19
sheep,0.17 ± 0.0,1.58 ± 0.02,7.0 ± 2.17,533.49 ± 3555.09,8.61 ± 0.23
bird,0.22 ± 0.0,2.1 ± 0.11,10.26 ± 11.31,417.04 ± 691.77,6.46 ± 0.07
aeroplane,0.25 ± 0.0,2.04 ± 0.07,9.45 ± 12.74,480.6 ± 1391.89,9.07 ± 0.16
motorbike,0.09 ± 0.0,1.76 ± 0.04,3.69 ± 0.81,454.11 ± 575.52,8.75 ± 0.1
bicycle,0.14 ± 0.0,1.58 ± 0.05,4.6 ± 1.46,507.67 ± 1331.45,8.96 ± 0.05
mean,0.19,1.84,8.76,499.76,7.68
