Object,IS,MIS,DS,FID,AMS
cow,1.23 ± 0.05,3.65 ± 2.41,0.16 ± 0.02,2360.93 ± 107185.82,5.23 ± 1.66
person,1.42 ± 0.08,5.31 ± 1.76,0.35 ± 0.0,1897.35 ± 36991.22,3.16 ± 0.74
cat,1.09 ± 0.03,3.0 ± 0.5,0.24 ± 0.01,1630.98 ± 10840.19,1.36 ± 0.17
dog,1.7 ± 0.05,4.76 ± 3.19,0.34 ± 0.0,1720.47 ± 14803.28,1.2 ± 0.14
horse,1.42 ± 0.05,5.3 ± 1.62,0.32 ± 0.0,1868.55 ± 13735.73,3.77 ± 0.85
sheep,1.2 ± 0.02,3.99 ± 0.63,0.26 ± 0.01,2117.42 ± 62683.71,7.08 ± 1.94
bird,1.28 ± 0.04,5.76 ± 2.14,0.36 ± 0.0,1851.34 ± 24332.69,2.37 ± 0.25
aeroplane,1.3 ± 0.01,2.98 ± 0.11,0.38 ± 0.0,2019.7 ± 27626.82,5.84 ± 0.75
motorbike,1.53 ± 0.01,2.76 ± 0.03,0.29 ± 0.0,1929.87 ± 1889.66,2.23 ± 0.11
bicycle,1.36 ± 0.03,4.36 ± 1.6,0.26 ± 0.01,2456.15 ± 19973.04,4.73 ± 3.99
mean,1.35,4.19,0.3,1985.28,3.7
