Object,DS,IS,MIS,FID,AMS
cow,0.11 ± 0.01,1.67 ± 0.02,6.05 ± 9.37,543.86 ± 3021.5,7.99 ± 0.25
person,0.22 ± 0.0,1.79 ± 0.05,7.37 ± 5.69,539.02 ± 568.05,5.84 ± 0.12
cat,0.25 ± 0.0,2.14 ± 0.04,9.45 ± 3.85,517.72 ± 1197.66,7.82 ± 0.2
dog,0.23 ± 0.0,2.22 ± 0.06,8.53 ± 5.51,498.96 ± 1078.66,6.86 ± 0.04
horse,0.19 ± 0.0,1.99 ± 0.08,10.41 ± 21.24,479.2 ± 1765.49,6.82 ± 0.16
sheep,0.17 ± 0.0,2.27 ± 0.1,9.68 ± 12.61,509.12 ± 1723.47,7.84 ± 0.09
bird,0.21 ± 0.0,1.66 ± 0.05,8.06 ± 5.32,447.22 ± 649.18,6.71 ± 0.08
aeroplane,0.21 ± 0.0,1.66 ± 0.03,5.22 ± 0.81,462.75 ± 1084.21,9.22 ± 0.15
motorbike,0.01 ± 0.0,1.18 ± 0.0,1.29 ± 0.01,396.19 ± 235.61,7.82 ± 0.01
bicycle,0.05 ± 0.0,1.56 ± 0.07,2.58 ± 0.89,398.46 ± 1171.29,8.22 ± 0.16
mean,0.17,1.81,6.86,479.25,7.52
