Object,IS,MIS,DS,FID,AMS
cow,2.11 ± 0.09,7.58 ± 6.27,0.31 ± 0.01,2433.67 ± 64026.76,3.94 ± 0.32
person,2.08 ± 0.03,5.45 ± 0.82,0.35 ± 0.0,1775.01 ± 28777.85,1.6 ± 0.14
cat,1.85 ± 0.03,5.24 ± 1.95,0.33 ± 0.0,1738.44 ± 7827.29,1.5 ± 0.29
dog,1.85 ± 0.08,4.5 ± 3.47,0.27 ± 0.02,1788.3 ± 14508.53,1.31 ± 0.11
horse,1.75 ± 0.03,3.48 ± 0.56,0.29 ± 0.01,1743.53 ± 14107.17,4.06 ± 0.12
sheep,1.3 ± 0.05,4.61 ± 0.86,0.38 ± 0.01,2539.92 ± 69217.34,7.0 ± 0.37
bird,1.72 ± 0.1,5.94 ± 2.65,0.36 ± 0.0,1818.24 ± 16535.8,2.03 ± 0.15
aeroplane,1.45 ± 0.03,5.45 ± 1.82,0.37 ± 0.0,1898.98 ± 17791.79,3.88 ± 0.68
motorbike,1.08 ± 0.01,1.29 ± 0.04,0.06 ± 0.0,1956.75 ± 4255.43,1.42 ± 0.04
bicycle,1.06 ± 0.01,1.31 ± 0.04,0.06 ± 0.01,1933.28 ± 19950.64,3.86 ± 0.04
mean,1.63,4.49,0.28,1962.61,3.06
