Object,IS,MIS,DS,FID,AMS
cow,1.92 ± 0.12,9.71 ± 1.53,0.26 ± 0.04,225.97 ± 3.57,2.41 ± 0.32
person,2.12 ± 0.03,8.68 ± 0.75,0.4 ± 0.0,382.5 ± 13.5,5.55 ± 0.16
cat,1.62 ± 0.16,3.35 ± 0.61,0.13 ± 0.13,246.53 ± 39.28,2.8 ± 0.07
dog,2.99 ± 0.16,61.4 ± 5.43,0.39 ± 0.01,321.69 ± 4.76,5.4 ± 0.39
horse,2.43 ± 0.04,32.1 ± 0.43,0.35 ± 0.01,320.83 ± 28.68,4.26 ± 0.42
sheep,2.75 ± 0.03,33.47 ± 4.11,0.38 ± 0.01,296.54 ± 14.25,4.72 ± 0.54
bird,2.26 ± 0.27,22.58 ± 7.5,0.39 ± 0.02,323.34 ± 5.24,6.05 ± 0.37
aeroplane,2.35 ± 0.38,54.18 ± 13.53,0.33 ± 0.04,281.71 ± 13.17,2.9 ± 0.22
motorbike,2.31 ± 0.15,14.56 ± 0.69,0.35 ± 0.02,255.59 ± 43.14,3.83 ± 0.53
bicycle,2.34 ± 0.06,25.22 ± 0.48,0.4 ± 0.02,254.01 ± 7.3,3.79 ± 0.27
mean,2.31,26.52,0.34,290.87,4.17
