Object,IS,MIS,DS,FID,AMS
cow,1.79 ± 0.06,5.17 ± 1.94,0.27 ± 0.0,2236.82 ± 51604.86,4.98 ± 0.2
person,2.06 ± 0.07,5.7 ± 1.71,0.36 ± 0.0,1840.52 ± 41435.02,2.81 ± 0.4
cat,1.87 ± 0.06,7.93 ± 0.99,0.38 ± 0.02,1799.62 ± 15146.22,2.0 ± 0.09
dog,2.41 ± 0.07,5.29 ± 2.78,0.4 ± 0.0,1960.57 ± 22539.14,2.98 ± 0.33
horse,1.84 ± 0.03,4.65 ± 1.04,0.32 ± 0.0,1821.62 ± 17733.07,4.22 ± 1.2
sheep,1.67 ± 0.05,5.81 ± 2.93,0.32 ± 0.0,2009.59 ± 42780.79,6.09 ± 0.33
bird,1.42 ± 0.03,5.26 ± 1.05,0.39 ± 0.0,1826.69 ± 19034.47,2.53 ± 0.21
aeroplane,1.59 ± 0.03,5.28 ± 0.66,0.36 ± 0.0,1967.85 ± 40502.78,4.37 ± 0.44
motorbike,1.25 ± 0.0,1.37 ± 0.01,0.14 ± 0.0,1977.36 ± 4823.5,2.07 ± 0.03
bicycle,1.07 ± 0.01,1.9 ± 0.08,0.19 ± 0.0,2010.02 ± 13850.46,4.85 ± 0.31
mean,1.7,4.84,0.31,1945.07,3.69
