Object,DS,IS,MIS,FID,AMS
cow,0.15 ± 0.0,1.63 ± 0.03,13.2 ± 90.98,561.49 ± 4333.5,7.79 ± 0.48
person,0.23 ± 0.0,2.68 ± 0.11,11.22 ± 14.08,529.24 ± 839.72,5.71 ± 0.11
cat,0.27 ± 0.0,2.43 ± 0.07,27.8 ± 79.58,505.81 ± 1506.28,6.85 ± 0.47
dog,0.27 ± 0.0,3.17 ± 0.14,16.98 ± 57.77,496.44 ± 1370.39,6.47 ± 0.19
horse,0.2 ± 0.0,2.13 ± 0.1,13.79 ± 68.37,496.18 ± 2040.56,6.41 ± 0.52
sheep,0.13 ± 0.01,1.64 ± 0.09,11.01 ± 29.99,495.69 ± 2536.6,8.09 ± 0.06
bird,0.24 ± 0.0,2.36 ± 0.07,14.11 ± 17.12,422.92 ± 1590.76,6.26 ± 0.18
aeroplane,0.26 ± 0.0,2.19 ± 0.03,11.25 ± 7.82,424.99 ± 713.72,7.49 ± 0.75
motorbike,0.18 ± 0.0,1.92 ± 0.05,4.67 ± 2.56,434.85 ± 479.36,8.22 ± 0.13
bicycle,0.23 ± 0.0,2.04 ± 0.07,8.23 ± 3.63,455.07 ± 441.13,7.55 ± 0.15
mean,0.22,2.22,13.23,482.27,7.08
