Object,IS,MIS,DS,FID,AMS
cow,1.55 ± 0.04,4.29 ± 1.24,0.31 ± 0.0,2159.0 ± 34677.39,3.52 ± 0.69
person,1.88 ± 0.09,10.52 ± 2.24,0.35 ± 0.0,1817.9 ± 45806.79,1.85 ± 0.69
cat,1.21 ± 0.11,3.97 ± 1.79,0.34 ± 0.02,1671.54 ± 4490.09,1.64 ± 0.23
dog,1.46 ± 0.04,5.4 ± 2.9,0.36 ± 0.0,1804.25 ± 17248.4,1.55 ± 0.1
horse,1.53 ± 0.03,6.03 ± 1.99,0.37 ± 0.0,1807.76 ± 15626.65,3.08 ± 0.58
sheep,1.66 ± 0.03,5.77 ± 0.58,0.31 ± 0.02,2481.38 ± 135726.28,6.23 ± 1.23
bird,1.58 ± 0.06,3.7 ± 8.2,0.16 ± 0.03,1705.83 ± 20195.07,0.88 ± 0.24
aeroplane,1.5 ± 0.04,3.96 ± 1.48,0.31 ± 0.02,1802.88 ± 30987.81,2.55 ± 0.46
motorbike,1.24 ± 0.02,3.4 ± 0.68,0.25 ± 0.01,1828.83 ± 3431.84,1.75 ± 0.11
bicycle,1.99 ± 0.03,4.63 ± 0.65,0.35 ± 0.0,1876.14 ± 11632.4,2.86 ± 0.19
mean,1.56,5.17,0.31,1895.55,2.59
