Object,DS,IS,MIS,FID,AMS
cow,0.12 ± 0.01,2.29 ± 0.12,6.24 ± 17.34,529.59 ± 2909.01,8.0 ± 0.16
person,0.21 ± 0.0,1.86 ± 0.06,7.45 ± 7.52,550.68 ± 914.38,5.89 ± 0.09
cat,0.25 ± 0.0,2.29 ± 0.07,9.27 ± 4.38,525.03 ± 751.5,7.66 ± 0.21
dog,0.24 ± 0.0,2.04 ± 0.11,22.65 ± 274.95,515.42 ± 1205.81,6.64 ± 0.07
horse,0.17 ± 0.0,1.68 ± 0.03,6.21 ± 3.51,496.46 ± 1183.93,6.76 ± 0.06
sheep,0.14 ± 0.0,1.04 ± 0.05,4.92 ± 4.85,480.49 ± 1430.35,8.05 ± 0.36
bird,0.22 ± 0.0,1.76 ± 0.08,8.27 ± 9.19,441.66 ± 425.78,6.82 ± 0.07
aeroplane,0.19 ± 0.0,2.45 ± 0.09,5.03 ± 2.97,444.42 ± 1724.98,9.19 ± 0.06
motorbike,0.02 ± 0.0,1.13 ± 0.01,1.36 ± 0.03,396.0 ± 264.94,8.05 ± 0.05
bicycle,0.01 ± 0.0,1.27 ± 0.01,1.53 ± 0.04,441.75 ± 604.54,7.49 ± 0.05
mean,0.16,1.78,7.29,482.15,7.45
