Object,IS,MIS,DS,FID,AMS
cow,1.67 ± 0.04,6.02 ± 0.49,0.3 ± 0.01,2498.36 ± 106534.15,4.11 ± 0.31
person,1.57 ± 0.02,4.19 ± 0.26,0.33 ± 0.0,1767.39 ± 38641.13,1.47 ± 0.04
cat,1.18 ± 0.04,2.74 ± 0.69,0.32 ± 0.0,1750.16 ± 9167.26,1.5 ± 0.06
dog,1.39 ± 0.05,4.01 ± 3.02,0.29 ± 0.01,1825.48 ± 15790.19,1.46 ± 0.12
horse,1.33 ± 0.03,3.53 ± 0.62,0.31 ± 0.0,1777.19 ± 20749.9,3.91 ± 0.11
sheep,1.26 ± 0.05,3.54 ± 1.23,0.34 ± 0.01,2539.11 ± 66542.28,6.69 ± 1.67
bird,1.71 ± 0.02,3.94 ± 0.95,0.33 ± 0.0,1809.43 ± 23349.04,1.57 ± 0.11
aeroplane,1.47 ± 0.03,3.21 ± 0.07,0.31 ± 0.01,1965.75 ± 20706.85,4.68 ± 0.46
motorbike,1.2 ± 0.01,1.41 ± 0.04,0.09 ± 0.0,1990.74 ± 3692.92,1.2 ± 0.05
bicycle,1.29 ± 0.01,1.35 ± 0.05,0.05 ± 0.01,1925.63 ± 13197.64,4.06 ± 0.05
mean,1.41,3.39,0.27,1984.93,3.06
