Object,DS,IS,MIS,FID,AMS
cow,0.15 ± 0.0,1.88 ± 0.06,12.43 ± 94.74,555.07 ± 3557.93,7.98 ± 0.34
person,0.22 ± 0.0,2.97 ± 0.18,14.33 ± 59.07,560.96 ± 1835.14,5.69 ± 0.15
cat,0.26 ± 0.0,1.88 ± 0.12,12.87 ± 19.54,518.51 ± 423.44,7.77 ± 0.17
dog,0.25 ± 0.0,1.99 ± 0.06,11.62 ± 19.86,491.11 ± 1128.72,6.93 ± 0.16
horse,0.21 ± 0.0,1.79 ± 0.07,8.04 ± 22.05,492.05 ± 2625.41,6.91 ± 0.18
sheep,0.14 ± 0.01,1.03 ± 0.09,4.96 ± 4.85,511.74 ± 3522.95,7.81 ± 0.09
bird,0.2 ± 0.0,1.87 ± 0.07,6.6 ± 5.63,452.35 ± 966.11,6.84 ± 0.11
aeroplane,0.21 ± 0.0,1.93 ± 0.02,7.18 ± 1.09,464.77 ± 1071.49,8.46 ± 0.57
motorbike,0.01 ± 0.0,1.48 ± 0.02,1.38 ± 0.09,405.15 ± 339.69,7.86 ± 0.0
bicycle,0.03 ± 0.0,1.07 ± 0.05,1.59 ± 0.26,451.2 ± 787.79,7.7 ± 0.06
mean,0.17,1.79,8.1,490.29,7.4
