Object,IS,MIS,DS,FID,AMS
cow,1.68 ± 0.07,6.05 ± 2.64,0.32 ± 0.0,2315.97 ± 120771.89,4.06 ± 0.93
person,1.67 ± 0.02,3.79 ± 0.45,0.27 ± 0.01,1762.4 ± 39672.83,1.58 ± 0.23
cat,1.26 ± 0.07,4.06 ± 3.05,0.32 ± 0.0,1775.43 ± 8172.77,1.86 ± 0.07
dog,1.48 ± 0.03,5.66 ± 1.02,0.38 ± 0.0,1799.34 ± 10586.75,1.91 ± 0.19
horse,1.43 ± 0.07,3.64 ± 0.65,0.34 ± 0.0,1772.96 ± 15102.84,4.1 ± 0.34
sheep,1.19 ± 0.04,3.57 ± 0.26,0.35 ± 0.01,2589.26 ± 92229.46,6.9 ± 1.09
bird,1.58 ± 0.03,4.91 ± 0.59,0.33 ± 0.01,1762.27 ± 30251.86,1.66 ± 0.09
aeroplane,1.5 ± 0.02,3.86 ± 0.15,0.4 ± 0.0,2012.34 ± 30235.25,3.93 ± 0.33
motorbike,1.26 ± 0.0,1.21 ± 0.01,0.05 ± 0.0,1964.21 ± 4137.42,1.45 ± 0.03
bicycle,1.01 ± 0.03,1.54 ± 0.16,0.04 ± 0.01,1929.12 ± 15122.44,3.75 ± 0.01
mean,1.41,3.83,0.28,1968.33,3.12
